,LVR,REF,INSUR,RATE,AMOUNT,CREDIT,TERM,ARM,DELINQUENT
245,95,1,1,8.55,1.71,640,30,1,0
635,55.6,1,1,7.5,3,513,30,1,0
620,77.5,1,1,7.3,1.55,508,30,1,0
779,80,0,0,8.2,1.912,629,30,1,0
684,80,0,0,6.6,1.74,650,30,1,1
269,20,0,0,11.75,0.492,667,15,0,1
729,95,1,1,6.325,2.5175,651,30,1,0
83,75,1,1,7.61,1.5375,545,30,1,0
343,80,0,1,5.875,4.12,689,30,1,0
958,20,1,1,10.99,0.27,595,15,0,0
834,20,1,1,9.75,0.29,682,20,0,0
158,80,1,0,6.25,2.016,554,30,1,1
264,80,1,0,6.45,2.36,612,30,1,1
393,75,1,0,9.2,1.9125,553,30,1,1
508,90,1,1,7.35,1.467,644,30,1,0
822,76.4,1,1,8.875,0.97,556,30,1,0
854,90,1,1,8.49,1.602,593,30,1,0
900,50.8,1,0,6.725,0.92,806,30,0,0
773,84.1,1,0,8,2.6,613,30,1,1
16,79.9,0,0,12.5,1.5024,631,30,1,1
641,20,0,1,9.5,0.48,657,15,0,1
225,95,1,1,6.2,1.501,668,30,1,0
237,60,0,1,7.4,0.792,741,30,1,0
783,90,1,0,8.65,1.98,651,30,1,0
859,70.6,1,1,9.375,0.9525,703,30,1,1
446,85,1,1,9.35,1.547,589,30,1,0
964,20,1,1,11.65,0.35,594,20,0,0
628,67.5,1,1,7.625,1.35,532,30,1,0
578,70,1,1,6.1,2.135,679,30,0,0
35,95,1,1,7.9,1.71,601,30,1,0
220,80,1,1,6.25,1.48,604,30,0,0
330,80,0,1,6.5,1.236,757,30,1,0
802,75,1,1,8.99,1.875,596,30,1,0
519,96,1,1,7.7,1.315,718,30,0,0
170,65.5,1,0,5.73,1.44,686,30,1,0
239,82.4,0,1,6.75,3.995,664,30,1,0
657,78.7,1,1,7.35,1.91258,624,30,1,0
532,83.3,0,1,6.95,1.375,584,30,1,0
144,80,0,0,5.99,2.08,637,30,1,0
484,80,0,1,8.5,1,736,30,1,0
837,90,0,1,8.5,2.295,585,30,1,0
358,84.9,1,1,7.3,2.14,664,30,1,0
188,90,1,1,7.8,1.278,593,30,1,0
623,80,0,1,7.575,2.448,687,30,1,0
478,71.8,1,1,7.5,0.732,628,30,1,0
113,90,1,1,7.99,2.466,565,30,1,0
370,71,1,0,7.125,2.485,641,30,1,1
558,90,0,1,7.55,2.187,687,30,1,0
651,85,1,1,7.675,2.2525,518,30,1,0
844,90,0,1,7.99,1.296,617,30,1,0
78,75,1,1,6.7,1.17,650,30,1,0
477,84.4,1,1,8.5,1.687,669,30,0,0
1,89,1,1,6.875,3.1595,703,30,1,0
517,68.3,1,1,6.8,0.785,543,30,0,0
404,49.1,1,0,7,1.84,622,30,1,1
63,90,1,1,5.99,1.647,699,30,1,0
616,80,1,1,6.8,1.64,630,30,1,0
717,80,1,0,5.25,3.12,603,30,1,1
365,90,1,1,9.75,3.465,665,30,1,0
614,90,1,0,6.15,2.475,680,30,1,1
610,80,0,0,6.775,2.36,568,30,1,1
624,30,1,1,6.99,0.62,555,15,0,0
955,80,0,1,6.4,1.36129,637,30,1,0
276,20,0,1,10.5,0.342,688,15,0,0
431,20,0,0,10.55,0.66,741,30,0,0
965,5,1,1,13,0.11,545,10,0,0
707,80,0,1,5.95,1.2,759,30,1,0
743,20,0,1,9.75,0.717,652,15,0,0
109,75,1,1,6.975,1.3875,631,30,1,0
654,20,0,1,8.75,1.16,684,15,0,1
108,80,1,0,6.85,2.68,686,30,1,0
930,79.2,1,1,6.75,1.9075,573,30,1,0
38,90,1,1,8.175,1.467,591,30,1,0
298,80,1,1,6.25,3.2,577,30,1,0
770,89.2,1,0,6.825,1.65,643,30,0,0
62,85,1,0,6.175,3.4,654,30,1,0
894,75,1,1,8.5,0.975,587,30,1,0
80,80,0,1,5.82,1.92,603,30,1,0
41,80,1,1,5.68,1.08,633,30,1,0
261,80,0,0,7.175,4.16,668,30,1,1
409,61.2,1,0,6.962,1.53,548,30,0,0
151,73.7,1,1,7.23,1.4,549,30,1,0
991,20,0,0,9.94,0.4,698,15,0,0
172,42,1,0,5.767,0.8946,731,30,0,0
956,20,0,1,12.25,0.32539,636,20,0,0
869,80,0,1,6.05,1.16,672,30,1,0
260,80,0,0,6.7,2.7,707,30,1,1
550,80,0,1,6.825,1.56,582,30,1,0
397,95,0,0,9.55,2.565,591,30,1,1
754,57.1,1,0,7.8,1.6,540,30,0,0
953,80,0,1,8.55,0.984,629,30,1,0
886,80,0,1,6.45,1.3416,674,30,1,0
963,20,0,1,11,0.3338,639,20,0,1
808,62.3,1,1,7.625,0.685,737,30,0,0
377,66.7,1,0,6.99,1.4,630,30,0,0
53,80,0,1,5.67,2.428,783,30,1,0
412,80,1,0,8.6,1.96,578,30,1,1
408,85,1,0,7.4,2.805,574,30,1,0
951,83.3,1,1,6.79,1.615,571,30,0,0
726,90,1,1,7.075,1.368,624,30,1,0
453,85,1,1,8.7,2.125,663,30,1,1
896,80,0,1,7.15,1.248,617,30,1,0
731,85,1,0,6.05,2.6,662,30,1,1
352,80,0,0,7.325,3.0064,669,30,1,1
672,85,1,1,6.3,1.955,594,30,1,0
913,20,1,1,9.75,0.424,618,20,0,0
252,20,0,1,10.75,0.45,635,30,0,0
350,95,0,1,8.6,1.7575,642,30,1,0
926,89.2,1,1,6.75,1.642,558,30,1,0
143,95,0,0,7.87,2.356,589,30,1,0
272,74.4,1,1,6.625,1.45,636,30,0,0
385,55.5,1,0,6.625,1.415,732,30,0,0
159,73.7,1,0,7.785,2.0625,538,30,1,1
890,84.7,1,1,7.35,3.43,628,30,1,0
529,80,0,0,6.5,0.88,668,30,0,0
321,80,1,1,5.625,1.52,570,30,1,0
369,80,1,0,7.375,1.88,544,30,1,0
681,69.9,1,1,9.15,1.58,577,30,1,0
595,80,0,1,6.25,2.04,659,30,1,0
502,80,1,1,7.15,2.44,503,30,1,0
378,75,1,0,8.99,2.2125,533,30,1,0
200,94.1,1,1,6.95,1.975,645,30,0,0
570,95,0,1,8.15,1.482,676,30,1,0
757,20,0,1,9.1,0.5,661,30,0,0
632,80,0,0,6.875,1.6432,735,30,1,0
784,65.7,1,1,7.55,2.25,559,30,1,0
415,80,0,0,10.5,2.544,536,30,1,1
90,80,0,0,7.2,1.88,641,30,1,1
781,80,1,0,7.8,2.64,646,30,0,0
212,70,1,1,6.963,2.625,599,30,0,0
660,57.9,1,0,8,1.1,542,20,0,1
79,80,0,0,6.59,2.12,644,30,1,1
457,88.5,1,1,6.45,8.5,686,30,1,1
984,77.2,1,1,5.99,1.875,628,30,1,1
266,80,0,1,7.725,1.28,657,30,1,0
513,20,1,1,10.99,0.328,607,20,0,0
128,15,1,1,10.99,0.369,588,15,0,0
881,89.3,1,1,8.25,1,600,30,1,0
765,89.6,0,1,7.25,1.7604,741,30,1,0
417,79.4,1,0,7.2,2.24,623,30,1,1
961,80,0,1,6.5,1.271,627,30,1,0
673,80,0,0,5.99,5,607,30,0,1
33,80,1,1,5.455,1.816,687,30,1,0
291,60.5,1,0,6.875,1.3,631,30,0,0
85,80,1,1,7.3,1.816,561,30,1,0
184,69.1,1,1,7.125,1.9,579,30,1,0
642,80,0,0,5.625,2.8538,765,30,1,1
462,66.7,1,1,10.95,4,557,30,1,0
254,90,0,1,7,3.3741,651,30,1,0
925,20,0,1,9.75,0.276,617,20,0,0
495,90,1,1,6.99,1.2735,640,30,1,0
893,90,1,1,9.3,1.26,576,30,1,0
833,5,0,1,12.99,0.13495,568,10,0,0
750,20,0,1,10.15,0.406,703,30,0,0
138,68.3,1,1,5.625,2.6625,646,30,1,0
790,84,1,0,8.375,2.49999,556,30,1,1
73,80,1,0,5.75,2.048,615,30,1,0
919,70,1,1,6.35,0.861,637,30,1,0
137,80,1,1,5.83,1.96,681,30,1,0
435,80,1,0,7.2,2.216,638,30,1,0
809,78.6,0,1,8.25,1.422,709,30,1,0
386,80,0,0,7.325,2.672,657,30,1,1
901,80,0,1,8.55,1.284,613,30,0,0
401,75,1,0,8.95,1.95,602,30,1,0
402,95,1,0,7.7,3.23,635,30,1,1
152,80,1,0,6.75,1.92,627,30,1,0
168,75,1,0,6.38,2.355,581,30,1,1
233,81.6,1,1,6.75,2.041,651,30,1,0
324,84.7,1,1,6.25,5.25,614,30,1,0
882,68.6,1,1,8,1.44,554,30,0,0
514,62.5,0,1,8.6,1.4,539,30,0,0
501,90,1,1,6.75,1.665,660,30,1,0
962,80,1,1,9.4,1.76,545,30,1,0
662,78.5,1,0,6.25,2.08,623,30,0,0
640,80,0,1,5.8,1.92,657,30,1,1
52,75,1,1,7.475,1.9275,544,30,1,0
746,80,0,1,5.875,1.408,671,30,1,0
487,90,1,1,7.99,1.845,559,30,1,0
979,80,1,1,6.65,1.54,679,30,0,0
649,95,1,1,9.25,3.04,666,30,1,0
312,90,1,1,6.5,2.115,586,30,1,0
455,80,0,1,8.715,1.9592,686,30,1,0
7,80,1,1,8.355,1.376,517,30,1,0
84,89.9,1,0,7.6,4.45,622,30,1,1
811,90,0,1,8.75,1.3185,752,30,1,0
699,20,0,1,10,0.45,643,30,0,0
653,80,0,1,6.075,4.64,684,30,1,1
818,74.8,0,1,9.5,0.77752,577,30,1,0
683,80,0,1,6.75,1.96,689,30,1,0
77,80,0,0,8.2,1.472,610,30,1,1
316,79.3,1,1,5.75,4.4,649,30,1,0
302,48.9,1,1,4.75,3.08,672,30,1,0
180,78.5,1,0,7,1.06,659,15,0,0
69,89.9,1,1,6.99,1.6,610,30,1,0
839,20,0,1,9.99,0.51,669,20,0,0
522,80,0,1,7.35,1.3752,652,30,1,0
141,95,1,1,8,0.61,595,15,0,0
606,85,1,1,7.15,1.5045,554,30,1,0
691,80,0,0,5.7,2.1836,703,30,1,1
661,50,1,1,6.4,1,608,30,0,0
262,28.5,1,1,6.925,1.65,581,30,1,0
102,80,1,0,5.99,2.056,602,30,1,0
568,79.7,1,0,6.7,1.435,524,30,0,0
0,80,0,1,6.355,1.576,532,30,1,0
469,75,0,1,9.99,1.0875,668,30,0,0
530,80,0,1,8.5,1.056,533,30,1,0
852,20,0,1,12.73,0.344,685,15,0,0
492,60,0,1,7.75,1.83894,554,30,0,0
400,82.1,1,0,9.25,1.955,559,30,1,1
695,95,0,1,8.9,2.8975,621,30,1,0
71,25,1,0,9.99,0.4625,632,15,0,1
658,57.7,1,1,6.5,1.5,638,20,0,0
992,85,0,0,8.24,2.38,569,30,1,0
856,29.8,1,1,7.89,0.5,634,30,0,0
911,5,0,1,12.99,0.07445,577,10,0,1
936,20,0,1,11.65,0.3458,585,20,0,0
947,5,1,1,12.99,0.1225,590,10,0,0
217,85,1,1,7.5,1.377,556,30,1,0
835,20,0,1,9.75,0.6798,667,20,0,0
384,90,0,0,7.99,1.728,692,30,1,0
680,75.5,1,1,8.45,2.115,557,30,1,0
6,80,0,0,7.06,1.8,707,30,1,1
676,70,1,1,7.85,1.4,624,30,1,0
161,74.5,1,0,5.68,2.25,597,30,1,0
581,80,0,1,8.2,2.4,645,30,1,0
24,70.1,1,1,5.45,1.2975,645,30,1,0
650,80,1,1,6.99,2.12,594,30,1,0
639,90,1,1,7.05,2.025,608,30,1,0
920,5,0,1,12.99,0.1625,574,15,0,0
862,20,1,1,10.49,0.364,732,30,0,0
383,75,1,0,7.25,2.715,632,30,0,0
256,80,0,0,6.95,2.2315,768,30,1,1
339,80,1,0,7.99,1.8,651,30,0,1
95,51,1,1,6.475,1.7085,565,30,1,0
512,80,1,1,8.45,1.36,505,30,1,0
20,85,1,1,6.99,1.7,606,30,1,0
922,80,1,1,7.75,3.6,521,30,1,0
22,90,1,1,6.99,1.422,655,30,1,0
631,20,0,0,8.25,0.55,726,15,0,0
866,20,1,1,9.99,0.346,653,30,0,0
741,20,0,1,9.99,0.586,731,15,0,1
433,80,1,1,8.5,1.84,614,30,1,1
607,80,1,1,7.6,2.96,650,30,1,0
916,20,1,1,9.25,0.476,657,20,0,0
258,20,0,0,9.99,0.459,743,15,0,1
932,20,0,1,13.25,0.25,641,15,0,0
942,90,0,1,7.49,1.062,690,30,1,0
943,80,0,1,8.55,1.39999,621,30,1,1
525,85,1,1,8.9,0.935,577,30,1,0
176,95,0,1,10.5,1.51905,599,30,0,0
107,20,0,0,10.75,0.453,582,15,0,1
596,80,0,0,6.5,2.72,609,30,1,1
820,90,1,1,8,3.6,641,30,1,0
601,71.7,1,1,8.1,1.65,546,30,1,0
238,97.5,1,1,9.5,0.56,654,30,0,0
135,72.4,1,0,5.99,2.1,648,30,1,0
915,85,0,1,7.05,1.5725,654,30,1,0
538,95,1,1,8.75,1.7575,600,30,1,0
374,20,0,0,11,0.5,697,15,0,0
904,80,0,1,9.45,1.104,585,30,0,0
870,84.6,1,1,6.75,1.1,632,30,0,0
496,85,0,1,7.75,1.9125,545,30,0,0
801,68.4,1,0,9,1.95,534,30,1,0
638,48.1,0,0,6.99,0.77992,743,30,1,0
756,82.1,1,0,6.15,2.16,596,30,1,1
86,25,1,1,8.99,0.39,646,15,0,0
708,20,0,1,9.5,0.3,759,30,0,0
872,79.5,1,1,7.25,1.47,604,30,0,0
3,80,0,0,12.855,1.968,599,30,1,1
878,80,1,1,7.5,1.12,642,30,1,0
224,62,1,1,7.28,1.55,619,30,0,0
380,75,0,0,7.75,1.725,653,30,0,0
126,75,1,1,5.98,1.6875,582,30,1,0
335,20,0,1,11,0.488,631,15,0,0
732,80,1,1,6.99,2.04,681,30,1,0
637,80,1,1,6.825,1.92,597,30,1,0
564,80,1,1,6.95,1.88,595,30,1,0
13,80,0,0,5.81,1.96,694,30,1,1
507,85,0,1,7.5,2.086,545,30,1,0
280,80,0,0,7.275,1.52,624,30,1,0
413,70,1,0,8.75,1.694,537,30,1,0
70,80.7,1,0,6.425,1.355,641,30,1,1
599,80,0,0,6.3,1.6,464,30,1,1
527,90,1,1,6.99,1.53,532,30,1,0
167,80,1,1,7.55,1.56,689,30,1,0
775,77.2,1,1,8.81,2.323,517,30,1,0
56,90,1,0,7.53,1.467,609,30,1,0
617,20,1,1,10.8,0.41,630,20,0,0
931,80,0,1,7.9,1,641,30,1,0
405,95,1,0,7.3,2.85,587,30,1,1
768,80,1,0,7.95,1.6,600,30,1,0
292,67,1,0,7.75,0.938,548,30,1,1
55,20,0,1,9,0.607,783,15,0,0
155,70.2,1,1,6.78,1.65,616,30,1,0
92,80,1,1,6.99,1.448,588,30,1,0
376,81.9,1,1,8.75,1.785,603,30,1,1
255,95,0,1,8.825,1.235,564,30,1,0
427,94.9,1,0,8.175,2.485,595,30,0,1
622,10,0,1,11.875,0.306,687,15,0,0
787,85,1,0,11,1.5215,516,30,0,1
248,77.5,1,1,6.875,1.55,616,30,1,0
814,75,1,1,7.75,3.6,683,30,1,0
104,80,0,0,6.39,2,781,30,1,0
101,80,1,0,5.99,3.16,641,30,1,1
218,90,1,1,8.9,1.575,669,30,0,0
18,80,1,1,6.5,4.96,630,30,1,0
451,72,1,1,7.99,1.785,598,30,1,0
468,46.5,1,1,11.5,0.67,525,30,0,0
156,80,1,0,8.38,2.24,500,30,1,1
133,90,1,1,5.99,1.359,670,30,1,0
199,70,1,1,9.625,1.3125,445,30,0,0
440,51.2,1,0,11.02,1.1,546,30,1,1
281,15.9,1,1,12.875,1.3125,631,15,0,0
278,65.4,0,0,6.6,5.0375,782,30,1,0
236,77.2,1,1,7.15,1.815,594,30,1,0
663,80,1,0,6.4,3.12,597,30,1,1
875,20,0,1,11.49,0.3738,636,30,0,0
438,80,0,0,7.34,2.68,635,30,1,1
34,53.8,1,1,7.8,1.1575,565,30,1,0
867,20,0,1,10.99,0.27,650,30,0,0
326,90,1,1,6.75,1.575,653,30,1,0
213,75,1,1,6.45,3.675,582,30,1,0
72,72,1,1,6.18,1.224,686,30,1,0
760,75,1,0,7.25,1.575,583,30,0,1
977,95,1,1,6.5,2.4035,656,30,1,0
687,90,0,1,8.15,1.629,660,30,1,0
189,77.3,1,1,6.65,0.958,511,30,1,0
206,54.1,1,0,5.75,1.65,661,30,0,0
593,80,1,1,7.99,1.024,506,30,1,0
398,89.9,1,0,8.85,3.375,590,30,1,1
375,47.3,1,0,5.99,1.3,809,30,0,0
982,85,0,1,7.55,1.68215,566,30,1,0
763,75,1,0,6.4,3.3,561,30,1,1
165,80,0,0,5.97,2.44799,615,30,1,1
644,20,0,1,11.99,0.39,634,15,0,0
957,79.9,1,1,6.65,1.215,627,30,1,0
536,90,1,1,7.9,1.953,622,30,1,0
975,97,0,1,6.75,1.57626,653,30,1,0
935,20,0,1,13.25,0.305,641,20,0,0
829,20,0,1,10.99,0.262,594,20,0,1
679,90,1,0,7.75,1.44,629,30,1,0
499,70,1,1,10.95,0.854,509,30,1,0
297,65,1,1,7.5,2.2425,553,30,1,0
356,80,1,1,7.45,1.68,600,30,0,0
49,59.3,1,1,7.49,1.6,552,30,1,0
861,90,1,1,8.99,2.475,574,30,1,0
588,90,0,0,7.75,2.133,567,30,1,1
98,80,1,0,6.775,2.28,627,30,1,1
395,20,0,0,12.4,0.466,628,30,0,1
776,37.7,1,1,9.43,0.93,516,30,1,0
223,90,0,1,6.45,0.846,759,30,1,0
271,80,0,1,6.8,1.48,666,30,1,0
346,66.9,1,0,7.2,1.625,615,30,1,0
353,20,0,1,10.5,0.7516,669,15,0,1
387,80,1,0,7.3,5.4,522,30,1,1
860,90,1,1,7.999,0.945,507,30,1,0
803,47.7,1,1,8.875,0.672,635,15,0,0
436,63.5,1,1,8.5,2,572,30,1,0
664,86.4,1,1,8.35,1.08,591,30,1,0
706,20,0,0,11.75,0.43,581,30,0,1
94,45.8,1,1,7.655,1.03,548,30,1,0
625,65.2,0,0,6.74,1.5,753,30,1,0
548,90,1,1,7.25,2.205,597,30,1,0
521,80,0,1,8.3,1.336,646,30,1,0
66,85,1,1,7.5,2.397,586,30,1,0
702,85,1,1,9.15,2.227,537,30,1,0
211,80,0,1,6.9,5,583,30,1,0
690,74.6,1,1,7.05,4.62,540,30,1,0
619,80,1,1,7.275,1.704,647,30,1,0
17,80,0,1,6.93,1.2,599,30,1,0
677,95,1,1,7.05,1.862,713,30,1,0
124,80,1,1,7.48,1.848,547,30,1,0
591,90,1,1,8.1,1.503,572,30,1,0
329,95,0,1,7.79,2.565,618,30,1,0
430,80,0,0,7.05,2.64,741,30,1,0
846,5,0,1,12.99,0.0785,585,10,0,0
780,80,0,1,7.5,4.376,769,30,1,0
797,80,0,0,6.35,1.68,723,30,1,0
545,80,0,1,8,1.24654,653,30,1,0
117,74.2,1,1,7.69,1.32,602,30,1,0
995,80,0,0,7.25,1.948,624,30,1,1
927,80,0,1,7.1,1.30076,595,30,1,0
884,75,1,1,8.1,0.84,517,30,1,0
667,90,1,1,6.45,1.8,629,30,1,0
241,83.1,1,1,6.5,2.07,559,30,0,0
934,80,0,1,8.4,1.22,641,30,1,0
798,95,0,0,9.2,3.2775,627,30,1,0
208,80,1,1,7.2,1.04,598,30,0,0
974,20,0,1,11.75,0.428,593,20,0,0
268,20,0,1,8.25,0.5,731,15,0,0
460,80,0,1,6.935,1.72,644,30,1,0
61,95,1,1,7.1,1.9285,568,30,1,0
37,80,0,1,5.805,2.52,773,30,1,0
719,80,0,1,8.4,1.56,641,30,1,0
767,20,0,0,10.25,0.56,690,30,0,0
582,95,0,1,7.25,2.375,660,30,1,0
311,19.2,1,0,8,0.5,557,30,1,0
871,89.6,1,1,6.99,2.15,592,30,0,0
360,58,1,0,7.99,2,535,30,1,0
524,80,1,1,7.95,2.48,585,30,1,0
885,49,1,1,7.5,0.76,578,30,1,0
735,20,0,1,10.5,0.3652,664,15,0,0
816,80,0,1,10.25,1.148,577,30,1,0
348,80,1,1,7.325,2.08,610,30,1,0
284,90,0,0,8.75,1.0575,658,30,1,1
511,80,1,1,7.75,1.08,533,30,1,0
328,80,0,1,6.55,2,664,30,1,0
948,39.3,1,1,6.99,1.2,634,30,0,0
293,80,1,0,7.85,2.032,504,30,1,1
443,95,0,0,8.55,3.534,702,30,1,1
51,80,0,1,6.02,3.6,598,30,1,0
987,80,0,1,6.4,1.432,613,30,1,0
439,65,0,0,9.53,1.105,621,30,1,0
633,20,0,0,9.99,0.4108,735,15,0,0
407,70,1,0,8.425,3.115,588,30,1,0
310,66.7,1,1,6.25,1,575,30,1,0
406,78.4,1,1,7.65,1.96,599,30,1,0
745,59.9,1,1,7.15,1.15,617,30,1,0
129,80,1,0,7.45,1.8,678,30,1,1
334,20,0,1,11.25,1.04,668,15,0,1
331,80,0,0,5.95,1.8,600,30,1,0
240,79.3,0,1,6.95,0.96,636,30,1,0
147,80,0,0,6.22,2.28,623,30,1,0
589,57.5,1,1,7.4,1.3,590,30,1,0
294,60.9,1,0,7.15,1.43,648,30,0,0
734,80,0,1,7.85,1.4608,664,30,1,0
153,75,1,1,6.73,1.7175,557,30,1,0
132,60,1,1,5.955,1.53,604,30,1,0
983,80,0,1,6.25,3.48,609,30,1,0
777,90.5,1,0,8.75,2.651357,662,30,1,1
40,80,1,1,6.855,1.72,607,30,1,0
742,80,0,1,6.5,2.868,652,30,1,0
645,80,0,1,6.9,1.24,646,30,1,0
121,20,1,1,9,0.58,623,20,0,0
541,90,0,1,8.3,1.57455,650,30,1,0
792,95,0,0,9.1,2.8785,598,30,1,1
590,75,1,1,7.6,1.725,531,30,1,0
338,80,0,1,5.875,2,731,30,1,0
